eixo,média,desvio padrão,proporção mínima dentro de 2 desvios padrão,intervalo inferior,intervalo superior,dados fora do intervalo
ax,0.01356181411099147,0.007394905171477051,0.75,-0.0012279962319626317,0.02835162445394557,"[0.0337037037037037, 0.031125, 0.0366249999999999, 0.038875, 0.034, 0.03825, 0.030125, 0.0468749999999999, 0.036125, 0.0457499999999999, 0.032625]"
ay,9.868135800349087,0.0036080912235402353,0.75,9.860919617902006,9.875351982796168,"[9.882407407407404, 9.875875000000002, 9.877875, 9.876375, 9.860500000000004, 9.860000000000005]"
az,0.2300333908339901,0.018238015690990435,0.75,0.19355735945200925,0.26650942221597096,"[0.1796296296296296, 0.1830000000000001, 0.18725, 0.1844999999999999, 0.1835, 0.181375, 0.175375, 0.184875, 0.1907500000000001, 0.18425, 0.1825, 0.1796250000000001]"
gx,-0.11714953750350908,0.001145477590096498,0.75,-0.11944049268370208,-0.11485858232331608,"[-0.11475, -0.11425, -0.11425, -0.1145, -0.11475]"
gy,-0.02064290302706084,0.0002755773460939299,0.75,-0.0211940577192487,-0.02009174833487298,"[-0.02, -0.02125, -0.02125, -0.0215, -0.02125, -0.0215, -0.02125, -0.0215]"
gz,0.03580589935454044,0.0005042689346379478,0.75,0.03479736148526454,0.03681443722381634,"[0.036875, 0.0341249999999999, 0.036875, 0.037, 0.03725, 0.036875, 0.0347499999999999, 0.0346249999999999, 0.0343749999999999, 0.034625]"
temp,29.653051353630058,0.4097263002023016,0.75,28.833598753225456,30.47250395403466,"[30.475625, 30.50875000000001, 30.584124999999997, 30.603125000000013, 30.532750000000004, 30.50300000000001, 30.504500000000007, 30.52625000000001, 30.50437500000002, 30.48400000000001, 30.491125, 30.52112500000001]"
