eixo,média,desvio padrão,proporção mínima dentro de 2 desvios padrão,intervalo inferior,intervalo superior,dados fora do intervalo
ax,-0.2536533380659618,0.003979498036673309,0.75,-0.2616123341393084,-0.24569434199261517,"[-0.27374058349904096, -0.2699332443526028, -0.2662050793938935, -0.2626345454883029, -0.24516034997581468, -0.2438310727133591, -0.24279621579143368, -0.24206590305657957, -0.24165415512480415, -0.2415759147710064, -0.24184289414891758, -0.24245870327957347, -0.24341393310903744, -0.24468202216630913]"
ay,9.706232789181346,0.0043402869110700714,0.75,9.697552215359206,9.714913363003486,"[9.723355355060985, 9.719695766029844, 9.716144254462943, 9.69735509119778, 9.69723640713757, 9.71539299383881, 9.715877465612715, 9.716006712990291, 9.71579660218658, 9.715287380542454, 9.69732340663528, 9.696350678563654, 9.695595607855765, 9.695127609841068, 9.694986839923859, 9.695181779772991, 9.695691598550267, 9.696472255622602, 9.69746478176049]"
az,1.4799254003146392,0.009756723714810617,0.75,1.460411952885018,1.4994388477442604,"[1.4299041480879169, 1.4379978535613673, 1.4458058940017902, 1.4530304980422808, 1.459428703009297, 1.5027597591339972, 1.510123941494595, 1.518149247366889, 1.5265030824385544]"
gx,-0.11801121054310798,0.0007014715146083422,0.75,-0.11941415357232467,-0.11660826751389129,"[-0.11948122572218514, -0.11955498963756452, -0.11958676426962193, -0.11956791924033215, -0.1194916364007012, -0.11657972871386997, -0.11641250486678685, -0.11633601602458919, -0.1163543694130405, -0.11646444330145919, -0.11655067571690764, -0.11647421190264473, -0.1164314028996975, -0.11642682533671353, -0.11646361654438374, -0.11654274898813398]"
gy,-0.020552761339736218,0.00022196173508354938,0.75,-0.020996684809903316,-0.02010883786956912,"[-0.019994953174164713, -0.021033077123333195, -0.02109252487165939, -0.02109679175126818, -0.02105287420672338, -0.02100334951924655, -0.02009965499445812, -0.020023560903194553, -0.01995126288863598]"
gz,0.03576338234593584,0.000870718472519214,0.75,0.03402194540089741,0.03750481929097427,"[0.04002806494565745, 0.03895931772433325, 0.037941507958018206, 0.03397292609652751, 0.03369542558135797, 0.03349018769622999, 0.03336946798367214, 0.033343930241936534, 0.03342281850345351, 0.033613985475188415, 0.03392360989692514, 0.038185437155364085, 0.03917106850313029, 0.040164938853167256]"
temp,30.11099127622509,0.11057894198700727,0.75,29.889833392251074,30.332149160199105,[]
