_time,_measurement,_field,_value
2024-08-26 03:43:00+00:00,mqtt_consumer,ax,-3.928
2024-08-26 03:44:00+00:00,mqtt_consumer,ax,-3.9254999999999995
2024-08-26 03:45:00+00:00,mqtt_consumer,ax,-3.9135000000000004
2024-08-26 03:46:00+00:00,mqtt_consumer,ax,-3.9284999999999997
2024-08-26 03:47:00+00:00,mqtt_consumer,ax,-3.931750000000001
2024-08-26 03:48:00+00:00,mqtt_consumer,ax,-3.91425
2024-08-26 03:49:00+00:00,mqtt_consumer,ax,-3.9199999999999995
2024-08-26 03:50:00+00:00,mqtt_consumer,ax,-3.9272499999999995
2024-08-26 03:51:00+00:00,mqtt_consumer,ax,-3.9200000000000004
2024-08-26 03:52:00+00:00,mqtt_consumer,ax,-3.9130000000000003
2024-08-26 03:53:00+00:00,mqtt_consumer,ax,-3.9157500000000005
2024-08-26 03:54:00+00:00,mqtt_consumer,ax,-3.9159999999999995
2024-08-26 03:55:00+00:00,mqtt_consumer,ax,-3.9307499999999997
2024-08-26 03:56:00+00:00,mqtt_consumer,ax,-3.9200000000000004
2024-08-26 03:57:00+00:00,mqtt_consumer,ax,-3.9244999999999997
2024-08-26 03:58:00+00:00,mqtt_consumer,ax,-3.9279999999999995
2024-08-26 03:59:00+00:00,mqtt_consumer,ax,-3.9092499999999992
2024-08-26 04:00:00+00:00,mqtt_consumer,ax,-3.9197499999999996
2024-08-26 04:01:00+00:00,mqtt_consumer,ax,-3.9197500000000014
2024-08-26 04:02:00+00:00,mqtt_consumer,ax,-3.9219999999999993
2024-08-26 04:03:00+00:00,mqtt_consumer,ax,-3.9217500000000007
2024-08-26 04:04:00+00:00,mqtt_consumer,ax,-3.9297499999999994
2024-08-26 04:05:00+00:00,mqtt_consumer,ax,-3.915
2024-08-26 04:06:00+00:00,mqtt_consumer,ax,-3.914249999999999
2024-08-26 04:07:00+00:00,mqtt_consumer,ax,-3.91575
2024-08-26 04:08:00+00:00,mqtt_consumer,ax,-3.919249999999999
2024-08-26 04:09:00+00:00,mqtt_consumer,ax,-3.91875
2024-08-26 04:10:00+00:00,mqtt_consumer,ax,-3.9222500000000005
2024-08-26 04:11:00+00:00,mqtt_consumer,ax,-3.9144999999999994
2024-08-26 04:12:00+00:00,mqtt_consumer,ax,-3.9277499999999987
2024-08-26 04:13:00+00:00,mqtt_consumer,ax,-3.9285000000000005
2024-08-26 04:14:00+00:00,mqtt_consumer,ax,-3.919999999999998
2024-08-26 04:15:00+00:00,mqtt_consumer,ax,-3.920749999999999
2024-08-26 04:16:00+00:00,mqtt_consumer,ax,-3.9204999999999997
2024-08-26 04:17:00+00:00,mqtt_consumer,ax,-3.9175000000000004
2024-08-26 04:18:00+00:00,mqtt_consumer,ax,-3.9207500000000004
2024-08-26 04:19:00+00:00,mqtt_consumer,ax,-3.9152500000000003
2024-08-26 04:20:00+00:00,mqtt_consumer,ax,-3.9255000000000004
2024-08-26 04:21:00+00:00,mqtt_consumer,ax,-3.91275
2024-08-26 04:22:00+00:00,mqtt_consumer,ax,-3.9184999999999994
2024-08-26 04:23:00+00:00,mqtt_consumer,ax,-3.917499999999999
2024-08-26 04:24:00+00:00,mqtt_consumer,ax,-3.9207499999999995
2024-08-26 04:25:00+00:00,mqtt_consumer,ax,-3.915749999999999
2024-08-26 04:26:00+00:00,mqtt_consumer,ax,-3.9199999999999995
2024-08-26 04:27:00+00:00,mqtt_consumer,ax,-3.91125
2024-08-26 04:28:00+00:00,mqtt_consumer,ax,-3.9300000000000006
2024-08-26 04:29:00+00:00,mqtt_consumer,ax,-3.9240000000000004
2024-08-26 04:30:00+00:00,mqtt_consumer,ax,-3.923000000000001
2024-08-26 04:31:00+00:00,mqtt_consumer,ax,-3.92575
2024-08-26 04:32:00+00:00,mqtt_consumer,ax,-3.9254999999999995
2024-08-26 04:33:00+00:00,mqtt_consumer,ax,-3.91875
2024-08-26 04:34:00+00:00,mqtt_consumer,ax,-3.915
2024-08-26 04:35:00+00:00,mqtt_consumer,ax,-3.9234999999999998
2024-08-26 04:36:00+00:00,mqtt_consumer,ax,-3.8955000000000006
2024-08-26 04:37:00+00:00,mqtt_consumer,ax,-3.90725
2024-08-26 04:38:00+00:00,mqtt_consumer,ax,-3.9004999999999996
2024-08-26 04:39:00+00:00,mqtt_consumer,ax,-3.9012499999999997
2024-08-26 04:40:00+00:00,mqtt_consumer,ax,-3.904
