_start,_stop,_time,_value,_field
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:50:00Z,1.43,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:51:00Z,1.4432500000000013,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:52:00Z,1.4622500000000003,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:53:00Z,1.4699999999999993,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:54:00Z,1.4769999999999988,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:55:00Z,1.4799999999999986,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:56:00Z,1.4880000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:57:00Z,1.4900000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:58:00Z,1.4900000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T10:59:00Z,1.4900000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T11:00:00Z,1.4900000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T11:01:00Z,1.4900000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T11:02:00Z,1.4900000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T11:03:00Z,1.4900000000000007,ax
2024-09-04T10:09:44.578346552Z,2024-09-04T13:09:44.578346552Z,2024-09-04T11:04:00Z,1.4900000000000007,ax
